Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  1 | newX=  313.0243 | newY=  398.7618
particle=  2 | newX=  317.4533 | newY=  398.6033
particle=  3 | newX=  321.8826 | newY=  398.4589
particle=  4 | newX=  326.3128 | newY=  398.3283
particle=  5 | newX=  330.7445 | newY=  398.2115
particle=  6 | newX=  335.1783 | newY=  398.1084
particle=  7 | newX=  339.6146 | newY=  398.0188
particle=  8 | newX=  344.0541 | newY=  397.9424
particle=  9 | newX=  348.4972 | newY=  397.8792
STEP  34 | DAY  525
particle=  0 | newX=  309.5112 | newY=  389.5123
particle=  1 | newX=  313.9071 | newY=  389.3372
particle=  2 | newX=  318.3029 | newY=  389.1774
particle=  3 | newX=  322.6992 | newY=  389.0326
particle=  4 | newX=  327.0967 | newY=  388.9030
particle=  5 | newX=  331.4959 | newY=  388.7882
particle=  6 | newX=  335.8975 | newY=  388.6883
particle=  7 | newX=  340.3021 | newY=  388.6029
particle=  8 | newX=  344.7102 | newY=  388.5319
particle=  9 | newX=  349.1224 | newY=  388.4750
STEP  35 | DAY  540
particle=  0 | newX=  310.4234 | newY=  380.0166
particle=  1 | newX=  314.7840 | newY=  379.8395
particle=  2 | newX=  319.1446 | newY=  379.6788
particle=  3 | newX=  323.5059 | newY=  379.5345
particle=  4 | newX=  327.8686 | newY=  379.4066
particle=  5 | newX=  332.2334 | newY=  379.2948
particle=  6 | newX=  336.6009 | newY=  379.1990
particle=  7 | newX=  340.9719 | newY=  379.1190
particle=  8 | newX=  345.3468 | newY=  379.0545
particle=  9 | newX=  349.7265 | newY=  379.0053
STEP  36 | DAY  555
particle=  0 | newX=  311.3301 | newY=  370.4414
particle=  1 | newX=  315.6530 | newY=  370.2627
particle=  2 | newX=  319.9761 | newY=  370.1019
particle=  3 | newX=  324.3002 | newY=  369.9590
particle=  4 | newX=  328.6259 | newY=  369.8337
particle=  5 | newX=  332.9541 | newY=  369.7259
particle=  6 | newX=  337.2855 | newY=  369.6355
particle=  7 | newX=  341.6208 | newY=  369.5622
particle=  8 | newX=  345.9607 | newY=  369.5057
particle=  9 | newX=  350.3058 | newY=  369.4657
STEP  37 | DAY  570
