Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
STEP  42 | DAY  860
particle=  0 | newX=  772.2392 | newY=  624.5259
particle=  1 | newX=  776.8150 | newY=  624.5249
particle=  2 | newX=  781.3889 | newY=  624.5264
particle=  3 | newX=  785.9611 | newY=  624.5304
particle=  4 | newX=  790.5313 | newY=  624.5371
particle=  5 | newX=  795.0997 | newY=  624.5466
particle=  6 | newX=  799.6663 | newY=  624.5590
particle=  7 | newX=  804.2310 | newY=  624.5743
particle=  8 | newX=  808.7939 | newY=  624.5926
particle=  9 | newX=  813.3550 | newY=  624.6141
STEP  43 | DAY  880
particle=  0 | newX=  772.1094 | newY=  613.0335
particle=  1 | newX=  776.6734 | newY=  613.0286
particle=  2 | newX=  781.2354 | newY=  613.0262
particle=  3 | newX=  785.7954 | newY=  613.0265
particle=  4 | newX=  790.3533 | newY=  613.0294
particle=  5 | newX=  794.9092 | newY=  613.0351
particle=  6 | newX=  799.4631 | newY=  613.0437
particle=  7 | newX=  804.0149 | newY=  613.0553
particle=  8 | newX=  808.5647 | newY=  613.0700
particle=  9 | newX=  813.1124 | newY=  613.0879
STEP  44 | DAY  900
particle=  0 | newX=  771.9902 | newY=  601.5120
particle=  1 | newX=  776.5425 | newY=  601.5028
particle=  2 | newX=  781.0926 | newY=  601.4960
particle=  3 | newX=  785.6405 | newY=  601.4918
particle=  4 | newX=  790.1861 | newY=  601.4904
particle=  5 | newX=  794.7295 | newY=  601.4918
particle=  6 | newX=  799.2706 | newY=  601.4961
particle=  7 | newX=  803.8094 | newY=  601.5035
particle=  8 | newX=  808.3460 | newY=  601.5140
particle=  9 | newX=  812.8803 | newY=  601.5278
STEP  45 | DAY  920
particle=  0 | newX=  771.8829 | newY=  589.9615
particle=  1 | newX=  776.4237 | newY=  589.9473
particle=  2 | newX=  780.9620 | newY=  589.9356
particle=  3 | newX=  785.4978 | newY=  589.9265
particle=  4 | newX=  790.0311 | newY=  589.9201
particle=  5 | newX=  794.5620 | newY=  589.9166
particle=  6 | newX=  799.0903 | newY=  589.9160
particle=  7 | newX=  803.6161 | newY=  589.9185
particle=  8 | newX=  808.1394 | newY=  589.9243
particle=  9 | newX=  812.6602 | newY=  589.9333
STEP  46 | DAY  940
particle=  0 | newX=  771.7891 | newY=  578.3820
particle=  1 | newX=  776.3184 | newY=  578.3623
particle=  2 | newX=  780.8450 | newY=  578.3451
particle=  3 | newX=  785.3688 | newY=  578.3304
particle=  4 | newX=  789.8899 | newY=  578.3185
particle=  5 | newX=  794.4083 | newY=  578.3094
particle=  6 | newX=  798.9238 | newY=  578.3032
particle=  7 | newX=  803.4366 | newY=  578.3002
particle=  8 | newX=  807.9466 | newY=  578.3005
particle=  9 | newX=  812.4538 | newY=  578.3041
STEP  47 | DAY  960
particle=  0 | newX=  771.7103 | newY=  566.7739
particle=  1 | newX=  776.2283 | newY=  566.7480
particle=  2 | newX=  780.7433 | newY=  566.7245
particle=  3 | newX=  785.2553 | newY=  566.7036
particle=  4 | newX=  789.7642 | newY=  566.6853
